epoch,f1_score,iou_score,loss,lr,val_f1_score,val_iou_score,val_loss
0,0.8269899487495422,0.7050151824951172,0.8676555156707764,0.0005,0.903355062007904,0.8237442970275879,0.8019447326660156
1,0.8353462815284729,0.7172486186027527,0.7812790274620056,0.0005,0.828114926815033,0.706652045249939,0.8137236833572388
2,0.8529958724975586,0.7436729073524475,0.7529937028884888,0.0005,0.787427544593811,0.6493859887123108,1.040148138999939
3,0.8628214001655579,0.7587385773658752,0.729873776435852,0.0005,0.8938636779785156,0.808095395565033,0.6470977067947388
4,0.8631792664527893,0.7592923641204834,0.7265433073043823,0.0005,0.9057582020759583,0.8277496099472046,0.6059969663619995
0,0.7412979602813721,0.5889383554458618,1.0593329668045044,0.0005,0.9018102288246155,0.8211788535118103,0.8970926403999329
1,0.8459917306900024,0.7330898642539978,0.831181526184082,0.0005,0.9034514427185059,0.8239046931266785,0.6839579939842224
2,0.8512389659881592,0.7410060167312622,0.7822211384773254,0.0005,0.8984703421592712,0.8156570196151733,0.6448671221733093
3,0.8512613773345947,0.7410402297973633,0.7844688892364502,0.0005,0.8961374759674072,0.811819851398468,0.6183989644050598
4,0.8636566996574402,0.7600314021110535,0.7351514101028442,0.0005,0.8856828808784485,0.7948211431503296,0.6732487082481384
5,0.8569492697715759,0.749703586101532,0.7487677335739136,0.0005,0.8794244527816772,0.7847971320152283,0.6994461417198181
6,0.8728538155555725,0.7743926644325256,0.7064477801322937,0.0005,0.8852298855781555,0.7940918803215027,0.6979164481163025
7,0.8735488057136536,0.77548748254776,0.6994751691818237,0.0005,0.8987922072410583,0.8161876797676086,0.6527217030525208
8,0.8590647578239441,0.752947986125946,0.7544323205947876,0.00025,0.9067642688751221,0.8294315338134766,0.6071996688842773
9,0.8757038712501526,0.7788907885551453,0.6924435496330261,0.00025,0.9086105823516846,0.8325265049934387,0.5990039706230164
0,0.844340980052948,0.7306142449378967,0.8411697745323181,0.0005,0.9002646207809448,0.8186193108558655,0.8928325772285461
1,0.8398169875144958,0.7238660454750061,0.7866799235343933,0.0005,0.9123358130455017,0.8388028740882874,0.7036529183387756
2,0.8463569283485413,0.733638346195221,0.7684300541877747,0.0005,0.8561562895774841,0.7484906315803528,0.713024377822876
3,0.8561322093009949,0.7484537959098816,0.7478280067443848,0.0005,0.8001988530158997,0.6669428944587708,1.1480799913406372
4,0.8619681000709534,0.7574201822280884,0.7281205654144287,0.0005,0.8901757597923279,0.802087128162384,0.6290043592453003
5,0.8630098700523376,0.7590303421020508,0.725255012512207,0.0005,0.8774630427360535,0.7816784977912903,0.7118101716041565
6,0.8722478747367859,0.7734394073486328,0.6970126628875732,0.0005,0.8577852845191956,0.750984251499176,0.7264862060546875
7,0.870463490486145,0.7706378698348999,0.7067269682884216,0.0005,0.8856944441795349,0.7948397994041443,0.6634959578514099
8,0.869585394859314,0.7692621946334839,0.708209216594696,0.0005,0.8901663422584534,0.8020718097686768,0.6614089608192444
9,0.8686729073524475,0.7678353786468506,0.7110480666160583,0.00025,0.8918370604515076,0.8047887086868286,0.6679004430770874
0,0.7716096043586731,0.6281468868255615,2.002448558807373,0.0005,0.9149780869483948,0.8432807922363281,1.84500253200531
1,0.8299260139465332,0.7092936635017395,1.4893276691436768,0.0005,0.9032799005508423,0.8236193656921387,1.2247700691223145
2,0.8524230122566223,0.7428023815155029,1.3352093696594238,0.0005,0.9064661860466003,0.8289329409599304,1.0574650764465332
3,0.8569074273109436,0.749639630317688,1.228032112121582,0.0005,0.9079006910324097,0.8313353061676025,0.9260894060134888
4,0.8491435647010803,0.7378362417221069,1.2084486484527588,0.0005,0.9099805355072021,0.834829568862915,0.8943420648574829
5,0.841283917427063,0.7260482907295227,1.187865138053894,0.0005,0.8919669389724731,0.8050003051757812,0.953712522983551
6,0.8564338684082031,0.7489150762557983,1.1432275772094727,0.0005,0.9199918508529663,0.8518378734588623,0.8273558616638184
7,0.8531437516212463,0.7438976168632507,1.1092027425765991,0.0005,0.9038363099098206,0.8245450854301453,0.8894471526145935
8,0.8588453531265259,0.7526109218597412,1.096494436264038,0.0005,0.9070687890052795,0.8299413323402405,0.8769514560699463
9,0.8658437132835388,0.7634252905845642,1.0883753299713135,0.0005,0.8994274139404297,0.8172358870506287,0.9333598017692566
0,0.8667301535606384,0.7648048400878906,1.0695849657058716,0.0005,0.910534679889679,0.8357629179954529,0.8467735052108765
1,0.8684785962104797,0.7675319314002991,1.075656771659851,0.0005,0.9092130661010742,0.8335387110710144,0.8672094941139221
