idx,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,baseline_iou,new_accuracy,new_precision,new_recall,new_f1,new_iou
0,0.8603515624996718,0.9677753897263383,0.8739638601186268,0.9184804150798498,0.8492499145520904,0.9656105041500223,0.992620150461678,0.9690005593879913,0.9806681548861468,0.9620695748758953
1,0.7291030883786281,0.9758941973141392,0.6762984445027077,0.7989331400449624,0.6651862329086916,0.9360008239742523,0.9813760915382006,0.9373678786276455,0.9588673000304115,0.9209847121874283
2,0.6841087341305984,0.962393976111336,0.5862890767110518,0.7286721122937072,0.573158285395882,0.9118309020992615,0.9770178152025107,0.8992876689211167,0.9365426695839879,0.880658436213537
3,0.7091293334958232,0.9578973739272024,0.6482661640184662,0.7732368982968907,0.6303066152082742,0.9253349304195689,0.9855800449712698,0.9157965073946505,0.9494076928840564,0.9036880305076129
4,0.874282836913729,0.9996561604578799,0.8413396612258164,0.9136906944340204,0.8410962602939106,0.9597511291500245,0.9873835317190063,0.9613959949063542,0.9742164876651701,0.9497291348032239
5,0.8263320922848411,0.9994832679923841,0.7966103212401978,0.8865893091127912,0.7962823748407899,0.9516639709469026,0.9892906072211822,0.953600078787669,0.9711175289312571,0.9438566174837415
6,0.8889389038082547,0.9755678575183419,0.8769395531862834,0.9236281983345513,0.858094012594384,0.9660682678218971,0.981267057312078,0.9742920475201243,0.9777671133237409,0.9565013276993107
7,0.8821296691891166,0.9995085565755133,0.8559337488831786,0.9221662170295445,0.8555736808398239,0.9661026000972877,0.978503560172299,0.979976900019649,0.9792396759088239,0.9593238028532117
8,0.9652137756343975,0.9997335045889637,0.9619242183489445,0.9804644905319553,0.9616776281225603,0.9856529235836083,0.9934039441459506,0.9907689979566568,0.9920847214707997,0.9842937621885232
9,0.9305114746090201,0.9870436999066065,0.9330230939847202,0.9592734687305021,0.9217344229327585,0.9781112670894706,0.9842076162826628,0.9909450702383373,0.9875648521779956,0.9754351716280191
10,0.915889739989885,0.9981569316890908,0.8964737535057834,0.944586718806702,0.8949922609830242,0.9664497375484594,0.971012181450155,0.9875255213993419,0.9791992356101095,0.9592461817907774
11,0.9183616638180091,0.9944386829921981,0.8889491260783662,0.9387396413285037,0.8845516876778794,0.9370384216305019,0.9269976864206,0.9883549464365549,0.9566935435200483,0.9169822898900389
12,0.9464797973629202,0.9990116712634439,0.9415296289392596,0.9694192935266182,0.940653446583474,0.9763145446773619,0.9791289057775809,0.9949193015729016,0.9869609500507183,0.9742575571002233
13,0.9514579772945589,0.9989548523724397,0.9457642565745397,0.9716321385018265,0.944829350351642,0.9808654785152509,0.9841317571046324,0.99426265081113,0.9891712649929213,0.9785745406080035
14,0.8582611083981101,0.9885558622372362,0.7940963639200919,0.8807198669668636,0.786862770967087,0.8637466430660767,0.8347298426296874,0.9890529752629723,0.9053622243769758,0.8270884164048511
15,0.924198150634413,0.9907672043932565,0.8937202247056247,0.9397448609832162,0.8863384164821673,0.9685859680172086,0.9753881759610268,0.9771602588498361,0.9762734132572192,0.9536466336812207
16,0.9496383666988565,0.999306607043835,0.9419543015170838,0.9697832505548123,0.9413390445040606,0.9799957275386887,0.9893253496210903,0.9873371007825443,0.9883302252504665,0.9769296759855802
17,0.988605499267201,0.9984770146358899,0.9899451376974133,0.9941927719742448,0.9884526023199219,0.9889068603511852,0.9895486280174255,0.9992953465768172,0.994398104447806,0.9888586217329713
18,0.9219398498531639,0.9964806917219073,0.904320599916456,0.9481664610682455,0.9014415551259246,0.9675445556636935,0.9715081303512675,0.9878625061600739,0.9796170653171526,0.9600484602593187
19,0.9706726074215047,0.9987998175718714,0.9712585100171285,0.9848366508088596,0.9701262871571905,0.9840126037593903,0.9875254984976661,0.9962808792059925,0.991883868243869,0.983898419040289
20,0.9653663635250224,0.9983000988590978,0.9663283684270235,0.9820540848253377,0.9647409260017846,0.9843482971187651,0.9861739992769942,0.9980316721835609,0.9920674048250997,0.9842596713056515
21,0.8646507263180295,0.9974504860006386,0.8589925211990059,0.9230582403210899,0.8571106394799839,0.963859558105101,0.9678631592583993,0.9947934955014208,0.9811435668392324,0.9629851026169216
22,0.6586112976071706,0.8285907553546625,0.7132867811542708,0.7666274639676521,0.6215700784402303,0.9366035461422209,0.9353394792227248,0.9876308370167521,0.96077417832042,0.9245095322666561
